letter_number,amount
"2936",2056068
"1818",27449
"1815",39466
"2934",1347190
"3239",389.88
"1843",2307
"1852",742
"1833",18633
"1842",2388
"1841",1409
"1828",2284
"1825",1497
"1830",742
"1754",3600
"1756",9853
"1762",896
"1853",833
"1860",23897
"1742",14898
"1805",2744
"1798",15972
"2943",22072
"2945",4738
"1822",4298
"2985",1746462
"3018",89866
"3009",38117
"2937",498400
"1727",10188
"1831",742
"2930",399849
"1806",2155
"1812",598
"1811",1250
"1810",26128
"1804",11323
"2998",19444
"2956",1680398
"3026",3521
"1795",22335
"1802",1950
"3003",30466
"1801",67045
"2957",44939
"1800",1264
"1799",16835
"1794",12698
"1793",29400
"3065",2719230
"3046",112976
"2974",670995
"3067",1655995.05
"3066",258004.95
"3055",120875
"3008",135375
"3007",55632
"3093",268614
"3011",778940
"3051",237559
"1850",11698
"3221",2987992
"3205",503272
"3201",756717
"3025",162958
"3667",32321
"3625",1.25897257
"3421",1761434
"2942",880108
"3611",399562
"3735",131675
"3437",211315
"3428",15362
"3449",15362
"3063",1396500
"3033",1396500
"3032",1396500
"3257",29746
"1767",64659
"2931",1594435
"1803",968
"1784",92415
"3191",12721
"3129",176950
"3101",46049.43
"3302",750
"3235",48792
"3295",76252.54
"3223",353
"3196",151625
"3044",14419
"3134",1846
"3279",10792
"2975",5300
"3190",16446
"3053",1520
"2938",282728
"3275",8250
"2984",31990
"3126",3228
"2954",2464
"2965",6631
"3132",2963
"3006",4544
"1866",24070
"1750",1200
"2966",2125
"3202",16261
"3200",1657
"3252",32221
"3004",11730
"3029",32075
"3002",10857
"3035",57993
"3217",3750
"3037",268536
"3019",4698
"3020",13490
"3028",3425
"3372",1440
"3099",1543186
"3290",14088
"3652",5739
"3651",5739
"3690",1950
"3674",3470.47
"3647",115342
"3627",2500
"3706",6407
"3748",13696
"3312",127187
"3408",5500
"3419",13034
"3432",6213
"3465",4340
"3481",3213
"3448",1775
"3430",2500
"3453",5500
"3497",31796
"3506",12587.27
"3512",32700
"3455",28510
"3435",17812
"3522",255000
"3530",1950
"3549",2806
"3567",234889.79
"3337",1460
"3122",2250
"3162",87000
"1757",1600
"2995",9070
"3203",1600
"3163",40310
"2968",2013
"2933",15875
"3041",36673
"3042",11044
"3043",21838
"3040",22786
"3039",13750
"3255",4989
"1820",3600
"3117",20990
"3074",2158
"3106",5400
"3114",213789
"3068",8969
"3197",3692
"3061",9850
"3070",1607
"3147",2759
"3151",85259
"2977",2880
"3103",1440
"3139",4240
"3222",1648
"3185",14180
"3186",9860
"3274",1818597
"3303",86746
"3265",167396
"3254",699749
"3297",199116
"3038",2138
"3298",14531
"3276",134771
"2963",1578492
"3345",35361
"3386",5564
"3355",113282
"3387",5564
"3384",9800
"3376",2382574
"3385",166116
"3356",2913945
"3374",2241339
"3396",1597202
"3390",1204075
"3406",18400
"3411",91165
"3410",77260
"3412",71095
"3414",79510
"3415",72920
"3422",9413
"3424",35250
"3425",1963
"3631",8676
"3628",5175
"3632",3035575
"3633",1034592
"3643",3226
"3619",6498
"3642",257945
"3644",3215
"3636",120044
"3160",6288
"3626",3962794
"3639",2156356
"3635",107441
"3645",8788
"3655",9575
"3649",639576
"3664",173770
"3672",80114
"3665",6583
"3669",20148
"3668",416651
"3666",1819744
"3676",16648
"3671",880463
"3679",92457
"3662",12239
"3684",8703
"3686",2923
"3660",2616
"3693",18975
"3712",88875
"3675",43907
"3659",514478
"3718",1191448
"3699",8763
"3656",1859664
"3691",21200
"3683",166261
"3654",39630
"3689",6813
"3673",6813
"3688",6813
"3695",17225
"3694",15721
"3696",129551
"3687",2139052
"3553",10529
"3663",4407
"3678",6653
"3700",1524
"3702",42067
"3701",69910
"3703",9596
"3708",3025
"3704",12420
"3711",63404.31
"3714",139781
"3713",2156393
"3724",203157
"3729",13500
"3726",39773
"3737",173210
"3772",17354
"3761",26282
"3740",6157
"3742",292618
"3732",51489
"3751",348190.98
"3723",1100
"3738",725691
"3733",13684
"3736",19754
"3743",3300
"3745",23784
"3721",1148119
"3715",1148119
"3720",1191448
"3719",1382509
"3750",82462
"3746",62663
"3747",1074663
"3741",1585064
"3763",2350
"3766",2907
